TI83333S000001	b0001	thrL	thr operon leader peptide
TI83333S000110	b0109	nadC	nicotinate-nucleotide pyrophosphorylase
TI83333S000111	b0110	ampD	N-acetyl-anhydromuramyl-L-alanine amidase
TI83333S000112	b0111	ampE	"putative transmembrane protein, putative protease"
TI83333S000113	b0112	aroP	aromatic amino acid transport protein
TI83333S000114	b0113	pdhR	transcriptional regulator of pyruvate dehydrogenase complex
TI83333S000115	b0114	aceE	pyruvate dehydrogenase (decarboxylase component)
TI83333S000116	b0115	aceF	dihydrolipoamide acetyltransferase
TI83333S000117	b0116	lpdA	dihydrolipoamide dehydrogenase
TI83333S000118	b0117	yacH	hypothetical protein
TI83333S000119	b0118	acnB	aconitate hydratase
TI83333S000120	b0119	yacL	hypothetical protein
TI83333S000121	b0120	speD	S-adenosylmethionine decarboxylase proenzyme
TI83333S000122	b0121	speE	spermidine synthase
TI83333S000123	b0122	yacC	hypothetical protein
TI83333S000124	b0123	cueO	Probable periplasmic copper oxidase
TI83333S000125	b0124	gcd	glucose dehydrogenase
TI83333S000126	b0125	hpt	hypoxanthine-guanine phosphoribosyltransferase
TI83333S000127	b0126	yadF	putative carbonic anhdrase
TI83333S000128	b0127	yadG	putative ATP-binding component of a transport system
TI83333S000129	b0128	yadH	"putative transport protein (ABC superfamily, membrane)"
TI83333S000130	b0129	yadI	putative PTS enzyme II B component
TI83333S000131	b0130	yadE	hypothetical protein
TI83333S000132	b0131	panD	aspartate 1-decarboxylase precursor
TI83333S000133	b0132	yadD	putative transposase
TI83333S000134	b0133	panC	pantoate--beta-alanine ligase
TI83333S000135	b0134	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase
TI83333S000136	b0135	yadC	putative fimbrial-like protein
TI83333S000137	b0136	yadK	putative adhesin-like protein
TI83333S000138	b0137	yadL	putative adhesin-like protein
TI83333S000139	b0138	yadM	putative fimbrial-like protein
TI83333S000140	b0139	htrE	probable outer membrane porin protein involved in fimbrial assembly
TI83333S000141	b0140	ecpD	probable pilin chaperone similar to PapD
TI83333S000142	b0141	yadN	putative fimbrial-like protein
TI83333S000143	b0142	folK	"7,8-dihydro-6-hydroxymethylpterin- pyrophosphokinase"
TI83333S000144	b0143	pcnB	poly(A) polymerase I
TI83333S000145	b0144	yadB	glutamyl-tRNA synthetase
TI83333S000146	b0145	dksA	dnaK suppressor protein
TI83333S000147	b0146	sfsA	sugar fermentation stimulation protein
TI83333S000148	b0147	ligT	2'-5' RNA ligase
TI83333S000149	b0148	hrpB	"helicase, ATP-dependent"
TI83333S000150	b0149	mrcB	penicillin-binding protein 1b
TI83333S000151	b0150	fhuA	"outer membrane pore protein, receptor for ferrichrome, colicin M, and phages T1, T5 and phi80"
TI83333S000152	b0151	fhuC	ATP-binding component of hydroxymate-dependent iron transport
TI83333S000153	b0152	fhuD	"hydroxamate-dependent iron transport protein (ABC superfamily, peri_bind)"
TI83333S000154	b0153	fhuB	"hydroxamate-dependent iron transport protein (ABC superfamily, membrane)"
TI83333S000155	b0154	hemL	glutamate-1-semialdehyde aminotransferase
TI83333S000156	b0155	clcA	chloride channel protein
TI83333S000157	b0156	yadR	hypothetical protein
TI83333S000158	b0157	yadS	hypothetical protein
TI83333S000159	b0158	btuF	vitamin B12-transporter protein BtuF
TI83333S000160	b0159	mtn	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
TI83333S000161	b0160	dgt	deoxyguanosinetriphosphate triphosphohydrolase
TI83333S000162	b0161	htrA	"periplasmic serine protease Do, heat shock protein"
TI83333S000163	b0162	cdaR	"regulator of D-galactarate, D-glucarate and D-glycerate metabolism"
TI83333S000164	b0163	yaeH	putative structural protein
TI83333S000165	b0164	yaeI	hypothetical protein
TI83333S000166	b0165	b0165	unknown CDS
TI83333S000167	b0166	dapD	"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
TI83333S000168	b0167	glnD	PII uridylyl-transferase
TI83333S000169	b0168	map	methionine aminopeptidase
TI83333S000170	b0169	rpsB	30S ribosomal protein S2
TI83333S000171	b0170	tsf	elongation factor Ts
TI83333S000172	b0171	pyrH	uridylate kinase
TI83333S000173	b0172	frr	ribosome releasing factor
TI83333S000174	b0173	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase
TI83333S000175	b0174	uppS	"undecaprenyl pyrophosphate synthetase (di-trans,poly-cis-decaprenylcistransferase)"
TI83333S000176	b0175	cdsA	CDP-diglyceride synthase
TI83333S000177	b0176	yaeL	membrane-associated protease
TI83333S000178	b0177	bamA	putative outer membrane antigen
TI83333S000179	b0178	hlpA	periplasmic molecular chaperone for outer membrane proteins
TI83333S000180	b0179	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
TI83333S000181	b0180	fabZ	(3R)-hydroxymyristoyl ACP dehydratase
TI83333S000182	b0181	lpxA	UDP-N-acetylglucosamine acyltransferase
TI83333S000183	b0182	lpxB	lipid-A-disaccharide synthase
TI83333S000184	b0183	rnhB	ribonuclease HII
TI83333S000185	b0184	dnaE	DNA polymerase III subunit alpha
TI83333S000186	b0185	accA	acetyl-CoA carboxylase alpha subunit
TI83333S000187	b0186	ldcC	"lysine decarboxylase 2, constitutive"
TI83333S000188	b0187	yaeR	putative enzyme
TI83333S000189	b0188	tilS	tRNA(Ile)-lysidine synthetase
TI83333S000190	b0189	rof	modulator of Rho-dependent transcription termination
TI83333S000191	b4406		hypothetical protein
TI83333S000192	b0190	yaeQ	hypothetical protein
TI83333S000193	b0191	yaeJ	hypothetical protein
TI83333S000194	b0192	nlpE	copper homeostasis protein
TI83333S000195	b0193	yaeF	putative synthase
TI83333S000196	b0194	proS	prolyl-tRNA synthetase
TI83333S000197	b0195	yaeB	hypothetical protein
TI83333S000198	b0196	rcsF	regulator in colanic acid synthesis; interacts with RcsB
TI83333S000199	b0197	metQ	"D-methionine transport protein (ABC superfamily, peri_bind)"
TI83333S000200	b0198	metI	"D- and L-methionine transport protein (ABC superfamily, membrane)"
TI83333S000201	b0199	metN	"D- and L-methionine transport protein (ABC superfamily, atp_bind)"
TI83333S000202	b0200	gmhB	hypothetical protein
TI83333S000203	b0207	dkgB	"2,5-diketo-D-gluconate reductase B"
TI83333S000204	b0208	yafC	putative transcriptional regulator (LysR family)
TI83333S000205	b0209	yafD	hypothetical protein
TI83333S000206	b0210	yafE	putative biotin synthesis protein
TI83333S000207	b0211	mltD	"lytic murein transglycosylase C, membrane-bound"
TI83333S000208	b0212	gloB	probable hydroxyacylglutathione hydrolase
TI83333S000209	b0213	yafS	putative methyltransferase
TI83333S000210	b0214	rnhA	ribonuclease H
TI83333S000211	b0215	dnaQ	DNA polymerase III subunit epsilon
TI83333S000212	b0217	yafT	putative aminopeptidase
TI83333S000213	b0218	yafU	hypothetical protein
TI83333S000214	b0219	yafV	putative EC 3.5. amidase-type enzyme
TI83333S000215	b0220	ivy	"inhibitor of vertebrate C-type lysozyme, periplasmic"
TI83333S000216	b0221	fadE	acyl-CoA dehydrogenase
TI83333S000217	b0222	lpcA	phosphoheptose isomerase
TI83333S000218	b0223	yafJ	putative amidotransferase
TI83333S000219	b0224	yafK	hypothetical protein
TI83333S000220	b0225	yafQ	hypothetical protein
TI83333S000221	b0226	dinJ	damage-inducible protein J
TI83333S000222	b0227	yafL	putative lipoprotein
TI83333S000223	b0228	yafM	hypothetical protein
TI83333S000224	b0229	fhiA	flagellar biosynthesis
TI83333S000225	b0230	mbhA	flagellar motor protein
TI83333S000226	b0231	dinB	DNA polymerase IV
TI83333S000227	b0232	yafN	hypothetical protein
TI83333S000228	b0233	yafO	hypothetical protein
TI83333S000229	b0234	yafP	putative acyltransferase
TI83333S000230	b0235	ykfJ	unknown CDS
TI83333S000231	b0236	prfH	peptide chain release factor 2
TI83333S000232	b0237	pepD	aminoacyl-histidine dipeptidase (peptidase D)
TI83333S000233	b0238	gpt	xanthine phosphoribosyltransferase
TI83333S000234	b0239	frsA	hypothetical protein
TI83333S000235	b0240	crl	transcriptional regulator of cryptic csgA gene for curli surface fibers
TI83333S000236	b0241	phoE	"outer membrane pore protein E (E,Ic,NmpAB)"
TI83333S000237	b0242	proB	gamma-glutamyl kinase
TI83333S000238	b0243	proA	gamma-glutamyl phosphate reductase
TI83333S000239	b0245	ykfI	CP4-6 prophage
TI83333S000240	b0246	yafW	CP4-6 prophage
TI83333S000241	b0247	ykfG	CP4-6 prophage; putative DNA repair protein
TI83333S000242	b0248	yafX	CP4-6 prophage
TI83333S000243	b0249	ykfF	CP4-6 prophage
TI83333S000244	b0250	ykfB	CP4-6 prophage
TI83333S000245	b0251	yafY	CP4-6 prophage
TI83333S000246	b0252	yafZ	CP4-6 prophage
TI83333S000247	b0253	ykfA	CP4-6 prophage; putative GTP-binding factor
TI83333S000248	b0254	perR	CP4-6 prophage; putative transcriptional repressor of peroxide resistance (LysR family)
TI83333S000249	b0255	insN-1	CP4-6 prophage; IS911 homolog
TI83333S000250	b0256	insI-1	CP4-6 prophage; transposase1 for IS30
TI83333S000251	b0257	insO-1	"CP4-6 prophage; IS911, putative transposase"
TI83333S000252	b0258	ykfC	CP4-6 prophage; putative reverse transcriptase
TI83333S000253	b0259	b0259	CP4-6 prophage; IS5 protein 1
TI83333S000254	b0260	mmuP	CP4-6 prophage; putative S-methylmethionine transport protein (APC family)
TI83333S000255	b0261	mmuM	homocysteine methyltransferase
TI83333S000256	b0262	afuC	"CP4-6 prophage; putative ferric transport protein (ABC superfamily, atp_bind)"
TI83333S000257	b0263	afuB	CP4-6 prophage; putative membrane component of ferric transport system
TI83333S000258	b0264	see b0274	CP4-6 prophage; IS1 protein InsB 2
TI83333S000259	b0265	see b0275	CP4-6 prophage; IS1 protein InsA 2
TI83333S000260	b0266	yagB	CP4-6 prophage
TI83333S000261	b0267	yagA	CP4-6 prophage; putative transposase
TI83333S000262	b0268	yagE	CP4-6 prophage; putative synthase
TI83333S000263	b0269	yagF	hypothetical protein
TI83333S000264	b0270	yagG	CP4-6 prophage; putative sugar transport protein
TI83333S000265	b0271	yagH	CP4-6 prophage; putative xylosidase/arabinosidase
TI83333S000266	b0272	yagI	CP4-6 prophage; putative transcriptional regulator (IclR family)
TI83333S000267	b0273	argF	ornithine carbamoyltransferase
TI83333S000268	b0274	insB_3	CP4-6 prophage; IS1 protein InsB
TI83333S000269	b0275	insA_3	CP4-6 prophage; IS1 protein InsA
TI83333S000270	b0276	yagJ	CP4-6 prophage
TI83333S000271	b0277	yagK	CP4-6 prophage
TI83333S000272	b0278	yagL	CP4-6 prophage; DNA-binding protein
TI83333S000273	b0279	yagM	CP4-6 prophage
TI83333S000274	b0280	yagN	CP4-6 prophage
TI83333S000275	b0281	intF	CP4-6 prophage; putative phage integrase
TI83333S000276	b0282	yagP	putative periplasmic regulator
TI83333S000277	b0283	yagQ	hypothetical protein
TI83333S000278	b0284	yagR	putative molybdemum cofactor-binding oxidoreductase
TI83333S000279	b0285	yagS	"putative oxidoreductase, FAD-binding domain"
TI83333S000280	b0286	yagT	"putative oxidoreductase, Fe-S subunit"
TI83333S000281	b0287	yagU	hypothetical protein
TI83333S000282	b0288	ykgJ	putative ferredoxin
TI83333S000283	b0289	yagV	hypothetical protein
TI83333S000284	b0290	yagW	putative receptor
TI83333S000285	b0291	yagX	putative enzyme
TI83333S000286	b0292	matC	hypothetical protein
TI83333S000287	b0293	yagZ	hypothetical protein
TI83333S000288	b0294	ykgK	putative regulator
TI83333S000289	b0295	ykgL	unknown CDS
TI83333S000290	b0296	ykgM	50S ribosomal protein L31
TI83333S000291	b0297	eaeH	"attaching and effacing protein, pathogenesis factor"
TI83333S000292	b0298	b0298	putative transposase-related protein
TI83333S000293	b0299	b0299	putative IS tranposase
TI83333S000294	b0300	ykgA	putative ARAC-type regulatory protein
TI83333S000295	b0301	ykgB	hypothetical protein
TI83333S000296	b0303	ykgI	unknown CDS
TI83333S000297	b0304	ykgC	pyridine nucleotide-disulfide oxidoreductase
TI83333S000298	b0305	ykgD	putative ARAC-type regulatory protein
TI83333S000299	b0306	ykgE	putative dehydrogenase subunit
TI83333S000300	b0307	ykgF	putative dehydrogenase
TI83333S000301	b0308	ykgG	putative transporter
TI83333S000302	b0309	b0309	unknown CDS
TI83333S000303	b0310	ykgH	hypothetical protein
TI83333S000304	b0311	betA	choline dehydrogenase
TI83333S000305	b0312	betB	NAD+-dependent betaine aldehyde dehydrogenase
TI83333S000306	b0313	betI	transcriptional regulator BetI
TI83333S000307	b0314	betT	high-affinity choline transport
TI83333S000308	b0315	yahA	putative transcriptional repressor (LuxR/UhpA family)
TI83333S000309	b0316	yahB	putative transcriptional regulator (LysR family)
TI83333S000310	b0317	yahC	hypothetical protein
TI83333S000311	b0318	yahD	putative transcription factor
TI83333S000312	b0319	yahE	hypothetical protein
TI83333S000313	b0320	yahF	putative acyl-CoA synthetase
TI83333S000314	b0321	yahG	hypothetical protein
TI83333S000315	b0323	yahI	carbamate kinase
TI83333S000316	b0324	yahJ	cytosine deaminase
TI83333S000317	b0325	yahK	"putative dehydrogenase, NAD(P)-binding"
TI83333S000318	b0326	yahL	hypothetical protein
TI83333S000319	b0327	yahM	unknown CDS
TI83333S000320	b0328	yahN	putative cytochrome subunit of dehydrogenase
TI83333S000321	b0329	yahO	hypothetical protein
TI83333S000322	b0330	prpR	regulator for prp operon
TI83333S000323	b0331	prpB	putative carboxyphosphonoenolpyruvate mutase
TI83333S000324	b0333	prpC	citrate synthase
TI83333S000325	b0334	prpD	2-methylcitrate dehydratase
TI83333S000326	b0335	prpE	putative acetyl-CoA synthetase of the propionate catabolism operon
TI83333S000327	b0336	codB	cytosine permease/transport
TI83333S000328	b0337	codA	cytosine deaminase
TI83333S000329	b0338	cynR	cyn operon positive regulator
TI83333S000330	b0339	cynT	carbonic anhydrase
TI83333S000331	b0340	cynS	cyanate hydratase
TI83333S000332	b0341	cynX	cyanate transport
TI83333S000333	b0342	lacA	thiogalactoside acetyltransferase
TI83333S000334	b0343	lacY	"galactoside permease (lactose permease, M protein) (MFS family)"
TI83333S000335	b0344	lacZ	beta-D-galactosidase
TI83333S000336	b0345	lacI	transcriptional repressor of lactose catabolism (GalR/LacI family)
TI83333S000337	b0346	mhpR	transcriptional activator for 3-hydroxyphenylpropionate degradation (IclR family)
TI83333S000338	b0347	mhpA	3-(3-hydroxyphenyl)propionate hydroxylase
TI83333S000339	b0348	mhpB	"2,3-dihydroxyphenylpropionate 1,2-dioxygenase"
TI83333S000340	b0349	mhpC	"2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase"
TI83333S000341	b0350	mhpD	2-keto-4-pentenoate hydratase
TI83333S000342	b0351	mhpF	acetaldehyde dehydrogenase
TI83333S000343	b0352	mhpE	4-hydroxy-2-ketovalerate aldolase
TI83333S000344	b0353	mhpT	putative 3-hydroxyphenylpropionic transport protein (MFS family)
TI83333S000345	b0354	yaiL	nucleoprotein/polynucleotide-associated enzyme
TI83333S000346	b0355	frmB	putative S-formylglutathione hydrolase
TI83333S000347	b0356	frmA	"alcohol dehydrogenase class III; formaldehyde dehydrogenase, glutathione-dependent"
TI83333S000348	b0357	frmR	repressor of frmRAB
TI83333S000349	b0358	yaiO	hypothetical protein
TI83333S000350	b0359	yaiX	putative acyl transferase
TI83333S000351	b0360	b0360	insertion sequence 2 OrfA protein
TI83333S000352	b0361	b0361	insertion sequence 2 OrfB protein
TI83333S000353	b0362	yaiX	unknown CDS
TI83333S000354	b0363	yaiP	polysaccharide metabolism
TI83333S000355	b0364	yaiS	hypothetical protein
TI83333S000356	b0365	tauA	"taurine transport protein (ABC superfamily, peri_bind)"
TI83333S000357	b0366	tauB	taurine ATP-binding component of a transport system
TI83333S000358	b0367	tauC	"taurine transport protein (ABC superfamily, membrane)"
TI83333S000359	b0368	tauD	"taurine dioxygenase, 2-oxoglutarate-dependent"
TI83333S000360	b0369	hemB	delta-aminolevulinic acid dehydratase
TI83333S000361	b0370	b0370	unknown CDS
TI83333S000362	b0371	yaiT	hypothetical protein
TI83333S000363	b0372	tra5_4	putative transposase 5 of IS3
TI83333S000364	b0373	b0373	putative transposase-related protein
TI83333S000365	b0374	b0374	flagellar protein
TI83333S000366	b0375	yaiV	"putative outer membrane protein, cAMP-binding"
TI83333S000367	b0376	ampH	"beta-lactamase/D-ala carboxypeptidase , penicilling binding protein"
TI83333S000368	b0377	sbmA	"microcin B17 transport protein (ABC superfamily, atp_bind and membrane)"
TI83333S000369	b0378	yaiW	hypothetical protein
TI83333S000370	b0379	yaiY	hypothetical protein
TI83333S000371	b0380	yaiZ	unknown CDS
TI83333S000372	b0381	ddlA	D-alanylalanine synthetase
TI83333S000373	b0382	yaiB	hypothetical protein
TI83333S000374	b0383	phoA	alkaline phosphatase
TI83333S000375	b0384	psiF	induced by phosphate starvation
TI83333S000376	b0385	adrA	hypothetical protein
TI83333S000377	b0386	proC	pyrroline-5-carboxylate reductase
TI83333S000378	b0387	yaiI	hypothetical protein
TI83333S000379	b0388	aroL	shikimate kinase II
TI83333S000380	b0389	yaiA	unknown CDS
TI83333S000381	b0390	aroM	"protein of aro operon, regulated by aroR"
TI83333S000382	b0391	yaiE	hypothetical protein
TI83333S000383	b0392	ykiA	unknown CDS
TI83333S000384	b0393	rdgC	recombination associated protein
TI83333S000385	b0394	mak	possible NAGC-like transcriptional regulator
TI83333S000386	b0396	araJ	arabinose polymer transport protein (MFS family)
TI83333S000387	b0397	sbcC	ATP-dependent dsDNA exonuclease
TI83333S000388	b0398	sbcD	ATP-dependent dsDNA exonuclease
TI83333S000389	b0399	phoB	"positive response regulator for pho regulon, sensor is PhoR (or CreC)"
TI83333S000390	b0400	phoR	positive and negative sensor protein for pho regulon
TI83333S000391	b0401	brnQ	branched chain amino acid transport system II carrier protein
TI83333S000392	b0402	proY	proline permease transport protein
TI83333S000393	b0403	malZ	maltodextrin glucosidase
TI83333S000394	b0404	yajB	putative glycoprotein
TI83333S000395	b0405	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
TI83333S000396	b0406	tgt	queuine tRNA-ribosyltransferase
TI83333S000397	b0407	yajC	preprotein translocase subunit YajC
TI83333S000398	b0408	secD	protein export protein SecD
TI83333S000399	b0409	secF	protein export protein SecF
TI83333S000400	b0410	yajD	hypothetical protein
TI83333S000401	b0411	tsx	nucleoside channel; receptor of phage T6 and colicin K
TI83333S000402	b0412	yajI	"orf, hypothetical lipoprotein"
TI83333S000403	b0413	ybaD	hypothetical protein
TI83333S000404	b0414	ribD	bifunctional: diaminohydroxyphosphoribosylaminopyrimidine deaminase (N-terminal); 5-amino-6-(5-phosphoribosylamino) uracil reductase
TI83333S000405	b0415	ribE	riboflavin synthase subunit beta
TI83333S000406	b0416	nusB	transcription antitermination protein NusB
TI83333S000407	b0417	thiL	thiamine monophosphate kinase
TI83333S000408	b0418	pgpA	phosphatidylglycerophosphatase
TI83333S000409	b0419	yajO	putative NAD(P)H-dependent xylose reductase
TI83333S000410	b0420	dxs	1-deoxy-D-xylulose-5-phosphate synthase
TI83333S000411	b0421	ispA	geranyltranstransferase (=farnesyldiphosphate synthase)
TI83333S000412	b0422	xseB	exodeoxyribonuclease VII small subunit
TI83333S000413	b0423	thiI	thiamine biosynthesis protein ThiI
TI83333S000414	b0424	yajL	4-methyl-5(beta-hydroxyethyl)-thiazole monophosphate biosynthesis enzyme (thiamine biosynthesis)
TI83333S000415	b0425	panE	2-dehydropantoate 2-reductase
TI83333S000416	b0426	yajQ	hypothetical protein
TI83333S000417	b0427	yajR	putative transport protein
TI83333S000418	b0428	cyoE	protoheme IX farnesyltransferase
TI83333S000419	b0429	cyoD	cytochrome o ubiquinol oxidase subunit IV
TI83333S000420	b0430	cyoC	cytochrome o ubiquinol oxidase subunit III
TI83333S000421	b0431	cyoB	cytochrome o ubiquinol oxidase subunit I
TI83333S000422	b0432	cyoA	cytochrome o ubiquinol oxidase subunit II
TI83333S000423	b0433	ampG	muropeptide transport protein (MFS family)
TI83333S000424	b0434	yajG	putative lipoprotein
TI83333S000425	b0435	bolA	possible regulator of murein genes
TI83333S000426	b0436	tig	trigger factor
TI83333S000427	b0437	clpP	ATP-dependent Clp protease proteolytic subunit
TI83333S000428	b0438	clpX	ATP-dependent protease ATP-binding subunit
TI83333S000429	b0439	lon	DNA-binding ATP-dependent protease La; heat shock K-protein
TI83333S000430	b0440	hupB	"DNA-binding protein HU-beta, NS1 (HU-1)"
TI83333S000431	b0441	ppiD	peptidyl-prolyl cis-trans isomerase D
TI83333S000432	b0442	ybaV	hypothetical protein
TI83333S000433	b0443	ybaW	hypothetical protein
TI83333S000434	b0444	ybaX	putative (aluminum) resistance protein
TI83333S000435	b0445	ybaE	"putative transport protein (ABC superfamily, peri_bind)"
TI83333S000436	b0446	cof	"putative hydrolase, contains phophatase-like domain"
